shi_cd,shi_nm,season,time_step,time_step_col,upper_raw,lower_raw,upper_tol,lower_tol,POD_upper_raw,FAR_upper_raw,PPV_upper_raw,POD_lower_raw,FAR_lower_raw,PPV_lower_raw,POD_upper_tol,FAR_upper_tol,PPV_upper_tol,POD_lower_tol,FAR_lower_tol,PPV_lower_tol,best_antecedent_days,a,b,c,POD_api,FAR_api,PPV_api,n_ea,n_esa
6,Micro bacia do Saco do Pinhão,Inverno,6,I_6h,,,,,,,,,,,,,,,,,0,,,,,,,0,38
6,Micro bacia do Saco do Pinhão,Inverno,8,I_8h,,,,,,,,,,,,,,,,,0,,,,,,,0,38
6,Micro bacia do Saco do Pinhão,Inverno,10,I_10h,,,,,,,,,,,,,,,,,0,,,,,,,0,38
6,Micro bacia do Saco do Pinhão,Inverno,12,I_12h,,,,,,,,,,,,,,,,,0,,,,,,,0,38
6,Micro bacia do Saco do Pinhão,Inverno,24,I_24h,,,,,,,,,,,,,,,,,0,,,,,,,0,38
6,Micro bacia do Saco do Pinhão,Primavera,1/6,I_15min,,,,,,,,,,,,,,,,,0,,,,,,,0,67
6,Micro bacia do Saco do Pinhão,Primavera,1/2,I_30min,,,,,,,,,,,,,,,,,0,,,,,,,0,67
6,Micro bacia do Saco do Pinhão,Primavera,1,I_1h,,,,,,,,,,,,,,,,,0,,,,,,,0,67
6,Micro bacia do Saco do Pinhão,Primavera,2,I_2h,,,,,,,,,,,,,,,,,0,,,,,,,0,67
6,Micro bacia do Saco do Pinhão,Primavera,3,I_3h,,,,,,,,,,,,,,,,,0,,,,,,,0,67
6,Micro bacia do Saco do Pinhão,Primavera,6,I_6h,,,,,,,,,,,,,,,,,0,,,,,,,0,67
6,Micro bacia do Saco do Pinhão,Primavera,8,I_8h,,,,,,,,,,,,,,,,,0,,,,,,,0,67
6,Micro bacia do Saco do Pinhão,Primavera,10,I_10h,,,,,,,,,,,,,,,,,0,,,,,,,0,67
6,Micro bacia do Saco do Pinhão,Primavera,12,I_12h,,,,,,,,,,,,,,,,,0,,,,,,,0,67
6,Micro bacia do Saco do Pinhão,Primavera,24,I_24h,,,,,,,,,,,,,,,,,0,,,,,,,0,61
7,Micro bacia do Saco do Valente,Verao,1/6,I_15min,,,,,,,,,,,,,,,,,0,,,,,,,0,109
7,Micro bacia do Saco do Valente,Verao,1/2,I_30min,,,,,,,,,,,,,,,,,0,,,,,,,0,109
7,Micro bacia do Saco do Valente,Verao,1,I_1h,,,,,,,,,,,,,,,,,0,,,,,,,0,109
7,Micro bacia do Saco do Valente,Verao,2,I_2h,,,,,,,,,,,,,,,,,0,,,,,,,0,109
7,Micro bacia do Saco do Valente,Verao,3,I_3h,,,,,,,,,,,,,,,,,0,,,,,,,0,109
7,Micro bacia do Saco do Valente,Verao,6,I_6h,,,,,,,,,,,,,,,,,0,,,,,,,0,109
7,Micro bacia do Saco do Valente,Verao,8,I_8h,,,,,,,,,,,,,,,,,0,,,,,,,0,109
7,Micro bacia do Saco do Valente,Verao,10,I_10h,,,,,,,,,,,,,,,,,0,,,,,,,0,109
7,Micro bacia do Saco do Valente,Verao,12,I_12h,,,,,,,,,,,,,,,,,0,,,,,,,0,109
7,Micro bacia do Saco do Valente,Verao,24,I_24h,,,,,,,,,,,,,,,,,0,,,,,,,0,104
7,Micro bacia do Saco do Valente,Outono,1/6,I_15min,,,,,,,,,,,,,,,,,0,,,,,,,0,81
7,Micro bacia do Saco do Valente,Outono,1/2,I_30min,,,,,,,,,,,,,,,,,0,,,,,,,0,81
7,Micro bacia do Saco do Valente,Outono,1,I_1h,,,,,,,,,,,,,,,,,0,,,,,,,0,81
7,Micro bacia do Saco do Valente,Outono,2,I_2h,,,,,,,,,,,,,,,,,0,,,,,,,0,81
7,Micro bacia do Saco do Valente,Outono,3,I_3h,,,,,,,,,,,,,,,,,0,,,,,,,0,81
7,Micro bacia do Saco do Valente,Outono,6,I_6h,,,,,,,,,,,,,,,,,0,,,,,,,0,81
7,Micro bacia do Saco do Valente,Outono,8,I_8h,,,,,,,,,,,,,,,,,0,,,,,,,0,81
7,Micro bacia do Saco do Valente,Outono,10,I_10h,,,,,,,,,,,,,,,,,0,,,,,,,0,81
7,Micro bacia do Saco do Valente,Outono,12,I_12h,,,,,,,,,,,,,,,,,0,,,,,,,0,81
7,Micro bacia do Saco do Valente,Outono,24,I_24h,,,,,,,,,,,,,,,,,0,,,,,,,0,80
7,Micro bacia do Saco do Valente,Inverno,1/6,I_15min,,,,,,,,,,,,,,,,,0,,,,,,,0,38
7,Micro bacia do Saco do Valente,Inverno,1/2,I_30min,,,,,,,,,,,,,,,,,0,,,,,,,0,38
7,Micro bacia do Saco do Valente,Inverno,1,I_1h,,,,,,,,,,,,,,,,,0,,,,,,,0,38
7,Micro bacia do Saco do Valente,Inverno,2,I_2h,,,,,,,,,,,,,,,,,0,,,,,,,0,38
7,Micro bacia do Saco do Valente,Inverno,3,I_3h,,,,,,,,,,,,,,,,,0,,,,,,,0,38
