time_step,time_step_col,antecedent_days,a,b,c,POD,FAR,PPV,score,full_POD,full_FAR,full_PPV,shi_cd,shi_nm,season
24,I_24h,3,1.603571,-0.322632,1.025132,0.777778,0.310811,0.233333,0.125075,0.727273,0.258065,0.250000,8,Micro bacia do Canal dos Bancários,Verao
24,I_24h,4,1.388776,-0.218421,0.925926,0.777778,0.324324,0.225806,0.118667,0.727273,0.268817,0.242424,8,Micro bacia do Canal dos Bancários,Verao
24,I_24h,5,2.247959,-0.426842,1.058201,0.777778,0.324324,0.225806,0.118667,0.727273,0.268817,0.242424,8,Micro bacia do Canal dos Bancários,Verao
24,I_24h,6,5.040306,-0.322632,0.958995,0.777778,0.342466,0.218750,0.111872,0.727273,0.282609,0.235294,8,Micro bacia do Canal dos Bancários,Verao
24,I_24h,7,3.536735,-0.218421,0.925926,0.777778,0.347222,0.218750,0.111063,0.727273,0.285714,0.235294,8,Micro bacia do Canal dos Bancários,Verao
24,I_24h,8,5.040306,-0.166316,0.859788,0.777778,0.319444,0.233333,0.123508,0.727273,0.263736,0.250000,8,Micro bacia do Canal dos Bancários,Verao
24,I_24h,9,6.329082,-0.166316,0.859788,0.777778,0.319444,0.233333,0.123508,0.727273,0.263736,0.250000,8,Micro bacia do Canal dos Bancários,Verao
24,I_24h,10,10.195408,-0.166316,0.925926,0.777778,0.305556,0.241379,0.130375,0.727273,0.252747,0.258065,8,Micro bacia do Canal dos Bancários,Verao
1/6,I_15min,1,17.038367,-0.010000,31.167347,0.500000,0.195652,0.100000,0.040217,0.333333,0.128205,0.090909,8,Micro bacia do Canal dos Bancários,Outono
1/6,I_15min,2,17.038367,-0.010000,31.167347,0.500000,0.200000,0.100000,0.040000,0.333333,0.118421,0.100000,8,Micro bacia do Canal dos Bancários,Outono
1/6,I_15min,3,35.660408,-0.843684,33.200000,0.500000,0.177778,0.111111,0.045679,0.333333,0.106667,0.111111,8,Micro bacia do Canal dos Bancários,Outono
1/6,I_15min,4,17.038367,-0.010000,31.167347,0.500000,0.200000,0.100000,0.040000,0.333333,0.120000,0.100000,8,Micro bacia do Canal dos Bancários,Outono
1/6,I_15min,5,17.038367,-0.010000,31.167347,0.500000,0.200000,0.100000,0.040000,0.333333,0.120000,0.100000,8,Micro bacia do Canal dos Bancários,Outono
1/6,I_15min,6,17.038367,-0.010000,31.167347,0.500000,0.204545,0.100000,0.039773,0.333333,0.121622,0.100000,8,Micro bacia do Canal dos Bancários,Outono
1/6,I_15min,7,17.038367,-0.010000,31.167347,0.500000,0.204545,0.100000,0.039773,0.333333,0.121622,0.100000,8,Micro bacia do Canal dos Bancários,Outono
