shi_cd,date,shi_nm,I_15min,I_30min,I_1h,I_2h,I_3h,I_6h,I_8h,I_10h,I_12h,I_24h,daily_total_mm
47,2022-06-03,Sub bacia do Rio Sarapuí,8.809060872604288,6.405177641488165,3.8032360259301026,3.003559628523113,2.6695790900037593,2.434250207346862,1.8507685561583995,1.4806148449267194,1.2338457041055997,0.6169228520527998,14.806148449267196
47,2022-06-04,Sub bacia do Rio Sarapuí,8.0,7.200000000000001,4.2,2.5,1.7333333333333334,1.3,1.1,1.06,0.9166666666666666,0.4583333333333333,11.0
47,2022-06-14,Sub bacia do Rio Sarapuí,5.600133361813126,3.2002000427196893,2.600200042719689,2.1001166915864853,2.0000611241643496,1.7000111134844273,1.3500250053399612,1.3200116691586485,1.2166722234088805,0.6250013891855535,15.000033340453284
47,2022-06-26,Sub bacia do Rio Sarapuí,9.6,7.199999999999999,5.8,3.0,2.8666666666666667,1.8,1.6500000000000001,1.4200000000000002,1.2,0.6333333333333334,15.2
47,2022-07-14,Sub bacia do Rio Sarapuí,29.444675756994783,26.46775594913447,22.877174364291395,16.487589760874087,13.801530722447522,9.19194256588575,6.997097139336797,6.007899392438459,5.022432916176545,2.5112164580882723,60.269194994118536
47,2022-07-29,Sub bacia do Rio Sarapuí,12.8,8.4,5.2,3.3,2.5333333333333337,1.4333333333333333,1.25,1.0,0.8333333333333334,0.4166666666666667,10.0
47,2022-08-10,Sub bacia do Rio Sarapuí,8.800933532691882,8.400233383172973,6.400050010679923,5.09998332977336,3.7333111063644795,2.033316663106693,1.5749854135516894,1.2599899978640154,1.0499916648866796,0.5249958324433398,12.599899978640158
47,2022-08-11,Sub bacia do Rio Sarapuí,12.917967678301826,9.317745711154828,7.629365081205743,4.970611136599936,3.9006596625823335,2.18297707738181,2.01764882045093,1.9003989685086426,1.8063875963346936,1.05826346387803,25.398323133072722
47,2022-09-04,Sub bacia do Rio Sarapuí,9.592233537767752,7.1961167688838765,6.595793166290867,5.396602172773393,4.86299917061255,3.364077845922585,2.598098834766065,2.098479067812852,1.7487595233934607,0.9826996115886883,23.58479067812852
47,2022-09-15,Sub bacia do Rio Sarapuí,4.0,2.4000000000000004,2.0,1.5,1.2,0.7333333333333334,0.675,0.66,0.6666666666666666,0.44166666666666665,10.600000000000001
47,2022-09-16,Sub bacia do Rio Sarapuí,5.034857230461092,4.917428615230546,4.0978466094946455,3.939116447083159,3.4260776313887726,2.1878844699129454,1.965380950356951,1.9601296351818138,1.7342698312708436,0.928972647240872,22.29534353378093
47,2022-09-28,Sub bacia do Rio Sarapuí,8.469777880107042,7.815291079521406,7.297830754698431,5.383243342872844,4.9692838840371625,3.443163973191819,2.7360495605931625,2.25374069908718,1.9297517255166774,1.0636523177080994,25.527655624994384
47,2022-09-29,Sub bacia do Rio Sarapuí,6.8697778801070415,5.689375740639155,4.181825329655737,2.752547449829171,2.0108375675698387,1.281193008542882,1.2358848471595276,1.052638548191395,0.9057829671345496,0.538400714684572,12.921617152429725
47,2022-10-28,Sub bacia do Rio Sarapuí,33.56893415107102,18.386408691093575,9.992233537767754,4.996440371476887,3.397519046786922,1.6988134571589626,1.274110092869222,1.0192880742953776,0.8494067285794813,0.6996089802001126,16.790615524802703
47,2022-10-31,Sub bacia do Rio Sarapuí,17.48260309436188,16.145671747376504,11.984804049255878,7.297293562362862,4.9949293981532215,2.497467341542646,1.873100506156985,1.498480404925588,1.248733670771323,0.6243668353856615,14.98480404925588
47,2022-11-01,Sub bacia do Rio Sarapuí,10.401141545327416,6.197120150648561,3.884755605175583,2.1478303148526052,1.8128374018145719,1.293944125787397,1.3407484190781613,1.1849653292533247,1.039143899745982,0.5747180912040668,13.793234188897603
47,2022-11-02,Sub bacia do Rio Sarapuí,22.048633732488778,15.365586703832902,9.312459674250265,5.0053116898345955,4.390639719095867,2.9652739760315714,2.4099554963786716,2.1368024600978455,1.823010827485781,1.227280935808882,29.454742459413172
47,2022-11-11,Sub bacia do Rio Sarapuí,73.59559906016683,66.79559906016685,50.796615943991924,31.597932891896548,21.93199415845986,11.032685972865451,8.274514479649088,6.619611583719271,5.516342986432726,2.758171493216363,66.1961158371927
47,2022-11-16,Sub bacia do Rio Sarapuí,30.4,19.2,10.4,6.7,4.733333333333333,2.3666666666666667,1.775,1.42,1.1833333333333333,0.5916666666666667,14.200000000000001
47,2022-11-24,Sub bacia do Rio Sarapuí,17.051703839394786,9.443629340444652,5.98057654222624,5.38049726824517,5.117102196599261,3.6373385799854225,2.7280039349890672,2.182404733470875,1.8186706112257292,0.9093353056128646,21.82404733470875
47,2022-11-28,Sub bacia do Rio Sarapuí,73.6,46.8,24.0,12.0,8.0,4.0,3.0,2.4,2.0,1.0,24.0
47,2022-12-06,Sub bacia do Rio Sarapuí,9.560677440566058,7.5804021394678855,5.770650773590471,3.5853253867952355,2.837285730664709,1.8470978732609444,1.5139960219459534,1.3072788309299612,1.0894003470079854,0.5526258786927493,13.26302108862598
47,2022-12-13,Sub bacia do Rio Sarapuí,7.2786451188678845,5.737343571686943,4.717698146766185,3.7393780512206916,3.3759856220408175,2.3749777775203436,2.2787776550251633,1.9991088938321933,1.6817754885710074,0.8408877442855037,20.181305862852092
