duracao_h,intensidade_max_mm_h,id_estacao,id_evento_chuva,start_time,end_time,classificacao
0.25,16.0,22,22_1452623400,2016-01-12 18:30:00,2016-01-12 21:45:00,ESA
0.5,8.0,22,22_1452623400,2016-01-12 18:30:00,2016-01-12 21:45:00,ESA
1.0,5.6,22,22_1452623400,2016-01-12 18:30:00,2016-01-12 21:45:00,ESA
2.0,4.6,22,22_1452623400,2016-01-12 18:30:00,2016-01-12 21:45:00,ESA
3.0,4.266666666666667,22,22_1452623400,2016-01-12 18:30:00,2016-01-12 21:45:00,ESA
0.25,6.4,22,22_1452708000,2016-01-13 18:00:00,2016-01-13 18:15:00,ESA
0.25,14.4,22,22_1452713400,2016-01-13 19:30:00,2016-01-13 19:45:00,ESA
0.25,62.4,22,22_1452738600,2016-01-14 02:30:00,2016-01-14 03:45:00,ESA
0.5,46.0,22,22_1452738600,2016-01-14 02:30:00,2016-01-14 03:45:00,ESA
1.0,31.6,22,22_1452738600,2016-01-14 02:30:00,2016-01-14 03:45:00,ESA
0.25,6.4,22,22_1452749400,2016-01-14 05:30:00,2016-01-14 06:15:00,ESA
0.5,5.6,22,22_1452749400,2016-01-14 05:30:00,2016-01-14 06:15:00,ESA
0.25,9.6,22,22_1452874500,2016-01-15 16:15:00,2016-01-15 17:15:00,ESA
0.5,8.0,22,22_1452874500,2016-01-15 16:15:00,2016-01-15 17:15:00,ESA
1.0,6.4,22,22_1452874500,2016-01-15 16:15:00,2016-01-15 17:15:00,ESA
0.25,20.8,22,22_1452881700,2016-01-15 18:15:00,2016-01-15 22:30:00,ESA
0.5,20.0,22,22_1452881700,2016-01-15 18:15:00,2016-01-15 22:30:00,ESA
1.0,17.0,22,22_1452881700,2016-01-15 18:15:00,2016-01-15 22:30:00,ESA
2.0,11.700000000000001,22,22_1452881700,2016-01-15 18:15:00,2016-01-15 22:30:00,ESA
3.0,9.866666666666667,22,22_1452881700,2016-01-15 18:15:00,2016-01-15 22:30:00,ESA
0.25,10.4,22,22_1452903300,2016-01-16 00:15:00,2016-01-16 05:45:00,ESA
0.5,10.0,22,22_1452903300,2016-01-16 00:15:00,2016-01-16 05:45:00,ESA
1.0,8.8,22,22_1452903300,2016-01-16 00:15:00,2016-01-16 05:45:00,ESA
2.0,7.0,22,22_1452903300,2016-01-16 00:15:00,2016-01-16 05:45:00,ESA
3.0,6.6000000000000005,22,22_1452903300,2016-01-16 00:15:00,2016-01-16 05:45:00,ESA
0.25,5.6,22,22_1453157100,2016-01-18 22:45:00,2016-01-18 23:00:00,ESA
0.25,4.8,22,22_1453199400,2016-01-19 10:30:00,2016-01-19 10:45:00,ESA
0.25,4.8,22,22_1453371300,2016-01-21 10:15:00,2016-01-21 10:45:00,ESA
0.5,4.8,22,22_1453371300,2016-01-21 10:15:00,2016-01-21 10:45:00,ESA
0.25,4.0,22,22_1453455000,2016-01-22 09:30:00,2016-01-22 09:45:00,ESA
0.25,11.2,22,22_1453500000,2016-01-22 22:00:00,2016-01-22 22:15:00,ESA
0.25,9.6,22,22_1453514400,2016-01-23 02:00:00,2016-01-23 02:30:00,ESA
0.5,8.0,22,22_1453514400,2016-01-23 02:00:00,2016-01-23 02:30:00,ESA
0.25,4.0,22,22_1453993200,2016-01-28 15:00:00,2016-01-28 15:30:00,ESA
