id_evento,data_inicio,id_estacao
23490,2018-01-08 07:06:47+00:00,29
23503,2018-01-08 08:24:18+00:00,17
23539,2018-01-08 23:02:54+00:00,4
23495,2018-01-08 07:27:45+00:00,17
23475,2018-01-08 02:21:03+00:00,24
23485,2018-01-08 06:21:43+00:00,12
23482,2018-01-08 06:04:31+00:00,19
23508,2018-01-08 09:26:27+00:00,24
23497,2018-01-08 07:33:39+00:00,23
23491,2018-01-08 07:09:07+00:00,13
23474,2018-01-08 00:37:08+00:00,16
23500,2018-01-08 07:50:20+00:00,19
23498,2018-01-08 07:45:11+00:00,21
23533,2018-01-08 20:54:52+00:00,16
23481,2018-01-08 05:49:00+00:00,7
23504,2018-01-08 08:38:57+00:00,21
23525,2018-01-08 16:16:33+00:00,4
23618,2018-01-12 17:05:49+00:00,24
23617,2018-01-12 16:33:34+00:00,24
23615,2018-01-12 16:19:58+00:00,17
23606,2018-01-12 15:44:12+00:00,19
23611,2018-01-12 16:03:11+00:00,24
23604,2018-01-12 15:38:40+00:00,24
23666,2018-01-13 20:01:26+00:00,7
23869,2018-01-20 20:52:29+00:00,17
23868,2018-01-20 20:49:38+00:00,17
23864,2018-01-20 19:36:55+00:00,13
23867,2018-01-20 20:05:00+00:00,12
23904,2018-01-22 19:34:11+00:00,7
23909,2018-01-22 20:10:58+00:00,7
24019,2018-01-26 12:12:03+00:00,24
24045,2018-01-26 21:44:35+00:00,25
24008,2018-01-26 09:48:42+00:00,31
24037,2018-01-26 19:19:42+00:00,12
24044,2018-01-26 20:20:43+00:00,17
24040,2018-01-26 20:01:09+00:00,21
24021,2018-01-26 12:56:11+00:00,24
24007,2018-01-26 09:23:46+00:00,24
24046,2018-01-26 21:47:05+00:00,21
23998,2018-01-26 06:07:31+00:00,4
24043,2018-01-26 20:09:23+00:00,19
24039,2018-01-26 19:55:03+00:00,4
24096,2018-01-27 18:09:00+00:00,24
24078,2018-01-27 13:02:08+00:00,18
24058,2018-01-27 08:00:46+00:00,18
24089,2018-01-27 16:34:45+00:00,31
24070,2018-01-27 10:53:20+00:00,24
24060,2018-01-27 08:41:43+00:00,18
24067,2018-01-27 10:08:37+00:00,25
24077,2018-01-27 12:24:44+00:00,18
24073,2018-01-27 11:18:30+00:00,24
24062,2018-01-27 09:04:32+00:00,12
24066,2018-01-27 09:46:42+00:00,18
24075,2018-01-27 12:15:13+00:00,12
24063,2018-01-27 09:06:31+00:00,17
24074,2018-01-27 12:11:23+00:00,18
24097,2018-01-27 18:12:14+00:00,24
24065,2018-01-27 09:45:34+00:00,18
24068,2018-01-27 10:41:17+00:00,25
24069,2018-01-27 10:46:21+00:00,23
24079,2018-01-27 13:09:26+00:00,25
24088,2018-01-27 16:00:14+00:00,25
24192,2018-01-30 18:39:50+00:00,24
24018,2018-01-26 11:47:59+00:00,21
24103,2018-01-27 19:36:35+00:00,32
23520,2018-01-08 11:55:53+00:00,15
23492,2018-01-08 07:14:13+00:00,24
23519,2018-01-08 11:26:56+00:00,16
23499,2018-01-08 07:47:36+00:00,12
23517,2018-01-08 11:11:25+00:00,16
23501,2018-01-08 07:55:37+00:00,10
23907,2018-01-22 19:54:07+00:00,7
23912,2018-01-22 20:35:05+00:00,7
23910,2018-01-22 20:19:09+00:00,7
23915,2018-01-22 21:25:27+00:00,7
23908,2018-01-22 19:59:41+00:00,7
23916,2018-01-22 22:35:08+00:00,7
23901,2018-01-22 19:13:02+00:00,7
23902,2018-01-22 19:16:04+00:00,7
23919,2018-01-22 23:02:55+00:00,7
84478,2022-11-16 08:51:57+00:00,10
83612,2022-11-01 15:53:41+00:00,29
83631,2022-11-02 00:00:22+00:00,29
83611,2022-11-01 15:50:35+00:00,29
85188,2022-11-28 13:39:14+00:00,32
85200,2022-11-28 14:29:06+00:00,31
85187,2022-11-28 13:35:11+00:00,30
84777,2022-11-21 17:26:38+00:00,31
83622,2022-11-01 18:11:26+00:00,30
84100,2022-11-09 15:33:55+00:00,27
83678,2022-11-02 15:55:40+00:00,18
85186,2022-11-28 13:33:46+00:00,32
85189,2022-11-28 13:40:46+00:00,32
83617,2022-11-01 16:34:31+00:00,28
84264,2022-11-11 21:53:20+00:00,9
85191,2022-11-28 13:46:30+00:00,32
85194,2022-11-28 13:54:48+00:00,32
83595,2022-11-01 14:02:37+00:00,10
83596,2022-11-01 14:03:32+00:00,10
85198,2022-11-28 14:21:31+00:00,30
85197,2022-11-28 14:16:27+00:00,32
85203,2022-11-28 14:49:24+00:00,32
85206,2022-11-28 15:31:30+00:00,32
84101,2022-11-09 15:37:09+00:00,1
83616,2022-11-01 16:32:09+00:00,33
85196,2022-11-28 14:03:23+00:00,28
84505,2022-11-16 10:09:30+00:00,23
83698,2022-11-02 22:59:20+00:00,25
84263,2022-11-11 21:52:01+00:00,19
84482,2022-11-16 09:07:08+00:00,23
84035,2022-11-08 17:12:34+00:00,22
84480,2022-11-16 08:59:21+00:00,10
84479,2022-11-16 08:56:03+00:00,10
84109,2022-11-09 16:36:26+00:00,10
83701,2022-11-03 01:56:06+00:00,11
84034,2022-11-08 17:09:18+00:00,11
84278,2022-11-11 22:51:02+00:00,19
84516,2022-11-16 10:52:04+00:00,17
39226,2019-02-04 23:16:49+00:00,28
39201,2019-02-04 16:40:28+00:00,13
39217,2019-02-04 21:00:22+00:00,13
39218,2019-02-04 21:19:19+00:00,3
39219,2019-02-04 22:15:42+00:00,11
39222,2019-02-04 22:49:38+00:00,29
39198,2019-02-04 16:14:03+00:00,13
39221,2019-02-04 22:42:20+00:00,29
39216,2019-02-04 20:34:52+00:00,7
39229,2019-02-04 23:40:17+00:00,29
39215,2019-02-04 20:17:23+00:00,27
39196,2019-02-04 16:08:53+00:00,13
39220,2019-02-04 22:34:53+00:00,1
39223,2019-02-04 22:53:49+00:00,22
39195,2019-02-04 16:00:52+00:00,13
39227,2019-02-04 23:19:54+00:00,28
39224,2019-02-04 23:04:35+00:00,11
39225,2019-02-04 23:13:15+00:00,28
39203,2019-02-04 16:46:47+00:00,13
39228,2019-02-04 23:27:44+00:00,32
39200,2019-02-04 16:35:35+00:00,13
39231,2019-02-04 23:50:53+00:00,10
39295,2019-02-05 18:58:01+00:00,21
39268,2019-02-05 08:14:12+00:00,8
39269,2019-02-05 08:18:03+00:00,8
39250,2019-02-05 04:25:47+00:00,22
39258,2019-02-05 06:49:53+00:00,29
39235,2019-02-05 00:28:27+00:00,11
39288,2019-02-05 13:53:26+00:00,31
39272,2019-02-05 08:35:01+00:00,29
39244,2019-02-05 03:38:10+00:00,29
39246,2019-02-05 03:47:45+00:00,11
39240,2019-02-05 01:13:22+00:00,22
39247,2019-02-05 03:55:48+00:00,29
39248,2019-02-05 04:01:55+00:00,29
39264,2019-02-05 08:07:08+00:00,18
39241,2019-02-05 01:25:46+00:00,7
39277,2019-02-05 09:33:44+00:00,28
39242,2019-02-05 02:34:27+00:00,22
39280,2019-02-05 10:33:38+00:00,24
39276,2019-02-05 09:03:00+00:00,18
39254,2019-02-05 05:33:22+00:00,15
39253,2019-02-05 04:55:54+00:00,10
39236,2019-02-05 00:32:44+00:00,11
39249,2019-02-05 04:19:40+00:00,29
39232,2019-02-05 00:03:01+00:00,10
39245,2019-02-05 03:43:11+00:00,22
39251,2019-02-05 04:31:10+00:00,11
39255,2019-02-05 05:45:11+00:00,22
39252,2019-02-05 04:36:18+00:00,29
39261,2019-02-05 07:48:46+00:00,8
39234,2019-02-05 00:16:57+00:00,5
39239,2019-02-05 01:09:57+00:00,18
39271,2019-02-05 08:23:34+00:00,6
39332,2019-02-06 21:01:49+00:00,32
39326,2019-02-06 20:34:21+00:00,15
39344,2019-02-06 22:03:13+00:00,28
