I_15min,I_30min,I_1h,I_2h,I_3h,I_6h,I_8h,I_10h,I_12h,I_24h,date,id_estacao,daily_total_mm,api_1d,api_2d,api_3d,api_4d,api_5d,api_6d,api_7d,api_8d,api_9d,api_10d,classificacao
10.4,8.8,7.0,5.5,5.133333333333333,3.6333333333333333,3.0,2.6,2.3666666666666667,1.7249999999999999,2017-04-23,28,41.400000000000006,2.04,2.04,2.04,3.292815,7.729868124999999,11.6522230875,11.6522230875,11.6522230875,11.6522230875,15.589711174314452,ESA
15.2,14.0,11.4,9.0,8.266666666666667,7.033333333333334,5.75,4.6,3.8333333333333335,1.925,2017-04-27,28,46.2,1.53,1.53,1.652825,23.263883749999994,24.328776499999993,24.328776499999993,24.328776499999993,24.982753760093743,27.298923222925772,29.346417028069286,ESA
12.0,12.0,9.0,7.7,7.133333333333333,6.7,5.725,4.96,4.316666666666666,2.1999999999999997,2017-04-28,28,52.800000000000004,39.27,40.5705,40.5705,40.674901250000005,59.044301187500004,59.949460025,59.949460025,59.949460025,60.505340696079685,62.47408473948691,ESA
12.8,10.8,7.0,4.0,3.6,3.233333333333334,3.075,2.8,2.45,1.2750000000000001,2017-05-19,28,30.6,0.17,0.45899999999999996,0.70465,0.70465,0.70465,0.70465,0.961111670625,2.1055718757890625,2.1055718757890625,2.1055718757890625,ESA
8.8,8.4,7.6,6.4,4.466666666666667,2.2333333333333334,1.675,1.34,1.1166666666666667,0.5583333333333333,2017-06-13,28,13.399999999999999,0.0,0.0,0.0,3.9672474999999996,3.9672474999999996,3.9672474999999996,3.9672474999999996,3.9672474999999996,3.9672474999999996,3.9672474999999996,ESA
24.8,16.4,9.0,4.9,3.6,1.9333333333333336,1.4500000000000002,1.1600000000000001,0.9666666666666668,0.4833333333333334,2017-06-15,28,11.600000000000001,5.1,14.7815,14.7815,14.7815,14.7815,17.64783631875,17.64783631875,17.64783631875,17.64783631875,17.64783631875,ESA
86.4,70.80000000000001,54.60000000000001,41.4,32.6,22.666666666666668,19.6,15.680000000000001,13.066666666666668,10.191666666666666,2017-06-20,28,244.6,0.0,0.0,0.0,0.20880249999999997,5.3557841250000005,7.61868121875,11.914414201718749,11.914414201718749,11.914414201718749,11.914414201718749,ESA
28.8,25.6,20.4,16.0,13.266666666666666,8.233333333333333,6.675000000000001,5.7,4.916666666666667,2.85,2017-06-21,28,68.4,207.91,207.91,207.91,207.91,208.087482125,212.46241650625,214.3858790359375,218.03725207146095,218.03725207146095,218.03725207146095,ESA
10.4,6.4,3.8000000000000003,2.3000000000000003,1.9333333333333336,1.6333333333333335,1.2750000000000001,1.12,1.0166666666666668,0.7999999999999999,2017-07-02,28,19.2,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.978996210015625,3.8319317802812494,5.5644265384796086,ESA
12.0,10.400000000000002,8.0,6.6000000000000005,5.6000000000000005,4.133333333333334,3.5,3.0,2.566666666666667,1.2833333333333334,2017-07-18,28,30.800000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESA
7.2,6.0,4.8,4.4,4.266666666666667,3.4,3.0,2.9,2.6166666666666667,1.4166666666666667,2017-07-19,28,34.0,26.18,26.18,26.18,26.18,26.18,26.18,26.18,26.18,26.18,26.18,ESA
12.0,6.4,4.199999999999999,3.6,3.466666666666667,2.1999999999999997,1.9,1.52,1.2666666666666666,0.6333333333333333,2017-08-05,28,15.2,2.55,4.1395,4.1395,4.1395,4.1395,4.1395,4.1395,4.1395,4.1395,4.1395,ESA
4.0,3.6,3.0,2.1,2.1333333333333333,1.6666666666666667,1.375,1.1800000000000002,1.0,0.5083333333333333,2017-08-17,28,12.2,5.1,6.255999999999999,6.255999999999999,6.255999999999999,6.255999999999999,9.424055931249999,9.5522867665625,9.5522867665625,9.5522867665625,9.5522867665625,ESA
9.6,6.4,4.799999999999999,3.6999999999999997,3.666666666666666,2.0,1.5,1.2,1.0,0.5,2017-08-20,28,12.0,0.17,3.7824999999999998,11.274824999999998,14.406862499999997,15.116790999999997,15.116790999999997,15.116790999999997,15.116790999999997,17.0623733487789,17.141123110515192,ESA
32.8,30.0,23.2,17.799999999999997,14.666666666666666,8.766666666666667,6.7,5.619999999999999,5.116666666666666,2.9250000000000003,2017-08-21,28,70.19999999999999,10.2,10.3445,13.415125,19.783601249999997,22.445833124999996,23.049272349999995,23.049272349999995,23.049272349999995,23.049272349999995,24.703017346462065,ESA
6.4,6.0,4.2,3.6999999999999997,3.1333333333333333,2.066666666666667,1.55,1.24,1.05,0.525,2017-08-31,28,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6948508388496092,14.515434023568336,ESA
4.8,4.4,3.8,3.1,2.4,1.5,1.2,1.04,0.9,0.47500000000000003,2017-10-03,28,11.4,0.0,0.0,5.4043,5.4043,5.4043,5.4043,5.4043,5.4043,5.4043,5.4043,ESA
6.4,5.199999999999999,4.6,4.0,3.733333333333333,3.233333333333333,2.9,2.3600000000000003,2.0833333333333335,,2017-10-15,28,27.200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESA
6.4,5.2,4.6000000000000005,4.1000000000000005,3.5999999999999996,2.9000000000000004,2.375,2.52,2.516666666666667,1.4749999999999999,2017-10-23,28,35.400000000000006,0.68,0.68,0.68,0.68,0.68,0.68,2.1546546060937497,9.566396887156248,9.566396887156248,9.566396887156248,ESA
10.4,8.8,8.200000000000001,7.2,6.133333333333333,4.633333333333333,4.3,3.8,3.233333333333333,1.7333333333333334,2017-11-11,28,41.6,0.0,0.0,0.0,0.0,3.2834193125,3.2834193125,3.2834193125,3.2834193125,3.2834193125,3.362169074236289,ESA
17.6,14.000000000000002,10.4,5.6000000000000005,3.8000000000000003,1.9333333333333333,1.45,1.16,0.9666666666666667,0.6,2017-11-18,28,14.4,0.0,0.0,0.0,0.0,0.0,0.07542990312499999,13.411436775624997,13.411436775624997,13.411436775624997,13.411436775624997,ESA
17.6,13.200000000000001,8.4,5.9,4.066666666666667,2.1,1.5750000000000002,1.2600000000000002,1.05,0.7000000000000001,2017-11-19,28,16.799999999999997,12.24,12.24,12.24,12.24,12.24,12.24,12.30411541765625,23.63972125928125,23.63972125928125,23.63972125928125,ESA
7.2,6.4,5.4,3.6000000000000005,2.9333333333333336,2.6999999999999997,2.3,2.4,2.216666666666667,1.425,2017-11-20,28,34.2,14.28,24.683999999999997,24.683999999999997,24.683999999999997,24.683999999999997,24.683999999999997,24.683999999999997,24.73849810500781,34.37376307038906,34.37376307038906,ESA
