id_estacao,time_step,time_step_col,upper_raw,lower_raw,upper_tol,lower_tol,POD_upper_raw,FAR_upper_raw,PPV_upper_raw,POD_lower_raw,FAR_lower_raw,PPV_lower_raw,POD_upper_tol,FAR_upper_tol,PPV_upper_tol,POD_lower_tol,FAR_lower_tol,PPV_lower_tol,best_antecedent_days,a,b,c,POD_api,FAR_api,PPV_api
12,3,I_3h,43.200000,3.200000,29.224000,3.320000,0.000000,0.003425,0.000000,1.000000,0.756849,0.030702,0.000000,0.010274,0.000000,0.857143,0.729452,0.027397,7,53.654694,-0.062105,11.142857,0.285714,0.021127,0.250000
12,6,I_6h,26.333333,1.866667,15.660333,1.876667,0.000000,0.003425,0.000000,1.000000,0.750000,0.030973,0.000000,0.010274,0.000000,0.857143,0.732877,0.027273,1,9.845306,-0.010000,5.791837,0.142857,0.010274,0.250000
12,8,I_8h,20.300000,1.400000,11.752000,1.475000,0.000000,0.003425,0.000000,1.000000,0.804795,0.028926,0.142857,0.010274,0.250000,0.857143,0.756849,0.026432,1,18.389388,-0.270526,3.688061,0.428571,0.041096,0.200000
12,10,I_10h,20.440000,1.120000,9.665200,1.180000,0.000000,0.003425,0.000000,1.000000,0.828767,0.028112,0.142857,0.010274,0.250000,0.857143,0.784247,0.025532,1,14.317469,-0.270526,3.156000,0.428571,0.044521,0.187500
12,12,I_12h,20.483333,0.933333,8.319167,0.998333,0.000000,0.003425,0.000000,1.000000,0.845890,0.027559,0.142857,0.010274,0.250000,0.857143,0.787671,0.025424,1,11.932551,-0.270526,2.643333,0.428571,0.041096,0.200000
12,24,I_24h,11.816667,0.483333,5.083333,0.510833,0.000000,0.003559,0.000000,1.000000,0.879004,0.027559,0.000000,0.010676,0.000000,0.857143,0.811388,0.025641,1,3.166327,-0.062105,2.000000,0.285714,0.017794,0.285714
13,1/6,I_15min,133.600000,17.600000,110.688000,20.800000,0.000000,0.003745,0.000000,1.000000,0.580524,0.054878,0.000000,0.011236,0.000000,0.888889,0.513109,0.055172,1,129.397551,-0.114211,18.265306,0.333333,0.067416,0.142857
13,1/2,I_30min,130.800000,14.400000,87.320000,15.680000,0.000000,0.003745,0.000000,1.000000,0.539326,0.058824,0.000000,0.011236,0.000000,0.888889,0.498127,0.056738,1,110.569796,-0.114211,10.527551,0.333333,0.063670,0.150000
13,1,I_1h,106.600000,8.400000,56.648000,8.720000,0.000000,0.003745,0.000000,1.000000,0.584270,0.054545,0.000000,0.011236,0.000000,0.888889,0.573034,0.049689,1,73.906122,-0.114211,7.521429,0.333333,0.063670,0.150000
13,2,I_2h,56.600000,4.700000,31.868000,5.260000,0.000000,0.003745,0.000000,1.000000,0.647940,0.049451,0.000000,0.011236,0.000000,0.888889,0.584270,0.048780,1,38.659592,-0.166316,11.183163,0.333333,0.044944,0.200000
13,3,I_3h,37.733333,3.133333,23.393333,3.560000,0.000000,0.003745,0.000000,1.000000,0.741573,0.043478,0.000000,0.011236,0.000000,0.888889,0.666667,0.043011,7,32.355510,-0.322632,8.699320,0.555556,0.116732,0.142857
13,6,I_6h,19.066667,1.566667,12.572000,1.820000,0.000000,0.003745,0.000000,1.000000,0.868914,0.037344,0.000000,0.011236,0.000000,0.888889,0.764045,0.037736,1,22.431020,-0.114211,3.385799,0.333333,0.048689,0.187500
13,8,I_8h,14.300000,1.650000,9.544500,1.680000,0.000000,0.003745,0.000000,1.000000,0.647940,0.049451,0.111111,0.011236,0.250000,0.888889,0.617978,0.046243,10,4.039898,-1.000000,3.397376,0.777778,0.210117,0.114754
13,10,I_10h,11.440000,1.340000,7.675200,1.356000,0.000000,0.003745,0.000000,1.000000,0.655431,0.048913,0.111111,0.011236,0.250000,0.888889,0.636704,0.044944,10,7.080122,-0.218421,2.701458,0.666667,0.163424,0.125000
13,12,I_12h,9.533333,1.150000,6.396000,1.150000,0.000000,0.003745,0.000000,1.000000,0.640449,0.050000,0.111111,0.011236,0.250000,1.000000,0.640449,0.050000,10,2.601020,-0.895789,2.223129,0.777778,0.217899,0.111111
13,24,I_24h,4.766667,0.591667,3.490417,0.655000,0.000000,0.003906,0.000000,1.000000,0.714844,0.046875,0.111111,0.011719,0.250000,0.888889,0.640625,0.046512,10,8.061224,-0.270526,1.120068,0.666667,0.182186,0.117647
14,1/6,I_15min,,,,,,,,,,,,,,,,,0,,,,,,
14,1/2,I_30min,,,,,,,,,,,,,,,,,0,,,,,,
14,1,I_1h,,,,,,,,,,,,,,,,,0,,,,,,
14,2,I_2h,,,,,,,,,,,,,,,,,0,,,,,,
14,3,I_3h,,,,,,,,,,,,,,,,,0,,,,,,
14,6,I_6h,,,,,,,,,,,,,,,,,0,,,,,,
14,8,I_8h,,,,,,,,,,,,,,,,,0,,,,,,
14,10,I_10h,,,,,,,,,,,,,,,,,0,,,,,,
14,12,I_12h,,,,,,,,,,,,,,,,,0,,,,,,
14,24,I_24h,,,,,,,,,,,,,,,,,0,,,,,,
15,1/6,I_15min,120.000000,14.400000,94.784000,16.640000,0.000000,0.003610,0.000000,1.000000,0.617329,0.011561,0.000000,0.010830,0.000000,0.500000,0.570397,0.006289,0,,,,,,
15,1/2,I_30min,96.800000,11.600000,77.712000,13.060000,0.000000,0.003610,0.000000,1.000000,0.592058,0.012048,0.000000,0.010830,0.000000,0.500000,0.552347,0.006494,0,,,,,,
15,1,I_1h,73.000000,6.800000,53.288000,8.090000,0.000000,0.003610,0.000000,1.000000,0.671480,0.010638,0.000000,0.010830,0.000000,0.500000,0.599278,0.005988,0,,,,,,
15,2,I_2h,42.100000,5.400000,33.356000,6.080000,0.000000,0.003610,0.000000,1.000000,0.559567,0.012739,0.000000,0.010830,0.000000,0.500000,0.483755,0.007407,0,,,,,,
15,3,I_3h,35.266667,3.733333,23.658667,4.443333,0.000000,0.003610,0.000000,1.000000,0.613718,0.011628,0.000000,0.010830,0.000000,0.500000,0.490975,0.007299,0,,,,,,
15,6,I_6h,20.100000,2.533333,12.842667,2.935000,0.000000,0.003610,0.000000,1.000000,0.537906,0.013245,0.000000,0.010830,0.000000,0.500000,0.444043,0.008065,0,,,,,,
15,8,I_8h,15.400000,2.025000,9.632000,2.325000,0.000000,0.003610,0.000000,1.000000,0.545126,0.013072,0.000000,0.010830,0.000000,0.500000,0.447653,0.008000,0,,,,,,
15,10,I_10h,12.320000,1.620000,7.705600,1.860000,0.000000,0.003610,0.000000,1.000000,0.570397,0.012500,0.000000,0.010830,0.000000,0.500000,0.465704,0.007692,0,,,,,,
15,12,I_12h,10.266667,1.350000,6.421333,1.550000,0.000000,0.003610,0.000000,1.000000,0.577617,0.012346,0.000000,0.010830,0.000000,0.500000,0.483755,0.007407,0,,,,,,
15,24,I_24h,5.133333,0.925000,3.765417,1.012500,0.000000,0.003788,0.000000,1.000000,0.393939,0.018868,0.000000,0.011364,0.000000,0.500000,0.348485,0.010753,0,,,,,,
16,1/6,I_15min,171.200000,15.200000,107.776000,15.560000,0.000000,0.002667,0.000000,1.000000,0.634667,0.016529,0.000000,0.010667,0.000000,0.750000,0.586667,0.013453,1,110.400000,-0.062105,2.476190,0.500000,0.096257,0.052632
16,1/2,I_30min,118.000000,8.400000,92.152000,8.820000,0.000000,0.002667,0.000000,1.000000,0.754667,0.013937,0.000000,0.010667,0.000000,0.750000,0.717333,0.011029,1,64.800000,-0.062105,1.942857,0.500000,0.144385,0.035714
16,1,I_1h,88.000000,5.000000,69.324000,5.510000,0.000000,0.002667,0.000000,1.000000,0.856000,0.012308,0.000000,0.010667,0.000000,0.750000,0.794667,0.009967,1,38.593469,-0.062105,2.840816,0.500000,0.165775,0.031250
16,2,I_2h,76.700000,2.800000,42.566000,3.250000,0.000000,0.002667,0.000000,1.000000,0.936000,0.011268,0.000000,0.010667,0.000000,0.750000,0.888000,0.008929,1,25.200000,-0.114211,4.995918,0.500000,0.163102,0.031746
16,3,I_3h,61.466667,3.333333,29.709333,3.563333,0.000000,0.002667,0.000000,1.000000,0.792000,0.013289,0.000000,0.010667,0.000000,0.750000,0.749333,0.010563,1,20.930068,-0.114211,4.286621,0.500000,0.144385,0.035714
16,6,I_6h,36.300000,2.366667,17.602000,2.616667,0.000000,0.002667,0.000000,1.000000,0.674667,0.015564,0.000000,0.010667,0.000000,0.750000,0.597333,0.013216,1,17.836803,-0.062105,1.661451,0.500000,0.080214,0.062500
16,8,I_8h,27.475000,1.800000,14.015500,1.987500,0.000000,0.002667,0.000000,1.000000,0.693333,0.015152,0.000000,0.010667,0.000000,0.750000,0.629333,0.012552,1,13.068980,-0.062105,1.295238,0.500000,0.098930,0.051282
